ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ,,
OneOFF_Astro_MiAViG_Event_11,110,MiAViG - Event 11,"Mars in Aries, Venus in Gemini - Instance 11 of the Constellation of This",TRUE,GY_ONEOFF,,,95,2088-06-15,2088,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,15,,,,2088-07-03,,,
OneOFF_Astro_MiAViG_Event_12,120,MiAViG - Event 12,"Mars in Aries, Venus in Gemini - Instance 12 of the Constellation of This",TRUE,GY_ONEOFF,,,97,2090-05-17,2090,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,17,,,,2090-06-10,,,
OneOFF_Astro_MiAViG_Event_13,130,MiAViG - Event 13,"Mars in Aries, Venus in Gemini - Instance 13 of the Constellation of This",TRUE,GY_ONEOFF,,,123,2116-08-09,2116,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,9,,,,2116-08-27,,,
OneOFF_Astro_MiAViG_Event_14,140,MiAViG - Event 14,"Mars in Aries, Venus in Gemini - Instance 14 of the Constellation of This",TRUE,GY_ONEOFF,,,125,2118-07-15,2118,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,15,,,,2118-07-23,,,
OneOFF_Astro_MiAViG_Event_15,150,MiAViG - Event 15,"Mars in Aries, Venus in Gemini - Instance 15 of the Constellation of This",TRUE,GY_ONEOFF,,,127,2120-06-14,2120,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,14,,,,2120-06-29,,,
OneOFF_Astro_MiAViG_Event_16,160,MiAViG - Event 16,"Mars in Aries, Venus in Gemini - Instance 16 of the Constellation of This",TRUE,GY_ONEOFF,,,129,2122-05-17,2122,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,17,,,,2122-06-09,,,
OneOFF_Astro_MiAViG_Event_17,170,MiAViG - Event 17,"Mars in Aries, Venus in Gemini - Instance 17 of the Constellation of This",TRUE,GY_ONEOFF,,,142,2135-06-07,2135,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,7,,,,2135-07-09,,,
OneOFF_Astro_MiAViG_Event_18,180,MiAViG - Event 18,"Mars in Aries, Venus in Gemini - Instance 18 of the Constellation of This",TRUE,GY_ONEOFF,,,155,2148-08-08,2148,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,8,,,,2148-08-16,,,
OneOFF_Astro_MiAViG_Event_19,190,MiAViG - Event 19,"Mars in Aries, Venus in Gemini - Instance 19 of the Constellation of This",TRUE,GY_ONEOFF,,,157,2150-07-13,2150,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,13,,,,2150-07-18,,,
OneOFF_Astro_MiAViG_Event_20,200,MiAViG - Event 20,"Mars in Aries, Venus in Gemini - Instance 20 of the Constellation of This",TRUE,GY_ONEOFF,,,159,2152-06-12,2152,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,12,,,,2152-06-25,,,
OneOFF_Astro_MiAViG_Event_21,210,MiAViG - Event 21,"Mars in Aries, Venus in Gemini - Instance 21 of the Constellation of This",TRUE,GY_ONEOFF,,,161,2154-05-15,2154,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,15,,,,2154-06-05,,,
OneOFF_Astro_MiAViG_Event_22,220,MiAViG - Event 22,"Mars in Aries, Venus in Gemini - Instance 22 of the Constellation of This",TRUE,GY_ONEOFF,,,174,2167-06-02,2167,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,2,,,,2167-07-04,,,
OneOFF_Astro_MiAViG_Event_23,230,MiAViG - Event 23,"Mars in Aries, Venus in Gemini - Instance 23 of the Constellation of This",TRUE,GY_ONEOFF,,,187,2180-08-07,2180,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,7,,,,2180-08-08,,,
OneOFF_Astro_MiAViG_Event_24,240,MiAViG - Event 24,"Mars in Aries, Venus in Gemini - Instance 24 of the Constellation of This",TRUE,GY_ONEOFF,,,189,2182-07-11,2182,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,11,,,,2182-07-13,,,
OneOFF_Astro_MiAViG_Event_25,250,MiAViG - Event 25,"Mars in Aries, Venus in Gemini - Instance 25 of the Constellation of This",TRUE,GY_ONEOFF,,,191,2184-06-10,2184,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,10,,,,2184-06-20,,,
OneOFF_Astro_MiAViG_Event_26,260,MiAViG - Event 26,"Mars in Aries, Venus in Gemini - Instance 26 of the Constellation of This",TRUE,GY_ONEOFF,,,193,2186-05-14,2186,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,14,,,,2186-06-01,,,
OneOFF_Astro_MiAViG_Event_27,270,MiAViG - Event 27,"Mars in Aries, Venus in Gemini - Instance 27 of the Constellation of This",TRUE,GY_ONEOFF,,,206,2199-05-28,2199,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,28,,,,2199-06-25,,,
OneOFF_Astro_MiAViG_Event_28,280,MiAViG - Event 28,"Mars in Aries, Venus in Gemini - Instance 28 of the Constellation of This",TRUE,GY_ONEOFF,,,223,2216-06-09,2216,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,9,,,,2216-06-17,,,
OneOFF_Astro_MiAViG_Event_29,290,MiAViG - Event 29,"Mars in Aries, Venus in Gemini - Instance 29 of the Constellation of This",TRUE,GY_ONEOFF,,,225,2218-05-14,2218,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,14,,,,2218-05-28,,,
OneOFF_Astro_MiAViG_Event_30,300,MiAViG - Event 30,"Mars in Aries, Venus in Gemini - Instance 30 of the Constellation of This",TRUE,GY_ONEOFF,,,234,2227-07-16,2227,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,16,,,,2227-07-17,,,
OneOFF_Astro_MiAViG_Event_31,310,MiAViG - Event 31,"Mars in Aries, Venus in Gemini - Instance 31 of the Constellation of This",TRUE,GY_ONEOFF,,,255,2248-06-08,2248,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,8,,,,2248-06-13,,,
OneOFF_Astro_MiAViG_Event_32,320,MiAViG - Event 32,"Mars in Aries, Venus in Gemini - Instance 32 of the Constellation of This",TRUE,GY_ONEOFF,,,257,2250-05-12,2250,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,12,,,,2250-05-24,,,
OneOFF_Astro_MiAViG_Event_33,330,MiAViG - Event 33,"Mars in Aries, Venus in Gemini - Instance 33 of the Constellation of This",TRUE,GY_ONEOFF,,,266,2259-07-09,2259,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,9,,,,2259-07-15,,,
OneOFF_Astro_MiAViG_Event_34,340,MiAViG - Event 34,"Mars in Aries, Venus in Gemini - Instance 34 of the Constellation of This",TRUE,GY_ONEOFF,,,268,2261-06-11,2261,TRUE,TRUE,FALSE,OneOFF_Astro,2,1,11,,,,2261-06-16,,,
OneOFF_Astro_MiAViG_Event_35,350,MiAViG - Event 35,"Mars in Aries, Venus in Gemini - Instance 35 of the Constellation of This",TRUE,GY_ONEOFF,,,287,2280-06-06,2280,TRUE,TRUE,FALSE,OneOFF_Astro,2,2,6,,,,2280-06-09,,,
OneOFF_Astro_MiAViG_Event_36,360,MiAViG - Event 36,"Mars in Aries, Venus in Gemini - Instance 36 of the Constellation of This",TRUE,GY_ONEOFF,,,289,2282-05-11,2282,TRUE,TRUE,FALSE,OneOFF_Astro,2,2,11,,,,2282-05-20,,,
OneOFF_Astro_MiAViG_Event_37,370,MiAViG - Event 37,"Mars in Aries, Venus in Gemini - Instance 37 of the Constellation of This",TRUE,GY_ONEOFF,,,298,2291-07-03,2291,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,25,,,,2291-07-14,,,
OneOFF_Astro_MiAViG_Event_38,380,MiAViG - Event 38,"Mars in Aries, Venus in Gemini - Instance 38 of the Constellation of This",TRUE,GY_ONEOFF,,,300,2293-06-06,2293,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,6,,,,2293-06-14,,,
OneOFF_Astro_MiAViG_Event_39,390,MiAViG - Event 39,"Mars in Aries, Venus in Gemini - Instance 39 of the Constellation of This",TRUE,GY_ONEOFF,,,321,2314-05-12,2314,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,12,,,,2314-05-17,,,
OneOFF_Astro_MiAViG_Event_40,400,MiAViG - Event 40,"Mars in Aries, Venus in Gemini - Instance 40 of the Constellation of This",TRUE,GY_ONEOFF,,,328,2321-08-01,2321,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,1,,,,2321-08-12,,,
OneOFF_Astro_MiAViG_Event_41,410,MiAViG - Event 41,"Mars in Aries, Venus in Gemini - Instance 41 of the Constellation of This",TRUE,GY_ONEOFF,,,330,2323-06-28,2323,TRUE,TRUE,FALSE,OneOFF_Astro,2,9,28,,,,2323-07-13,,,
OneOFF_Astro_MiAViG_Event_42,420,MiAViG - Event 42,"Mars in Aries, Venus in Gemini - Instance 42 of the Constellation of This",TRUE,GY_ONEOFF,,,332,2325-06-03,2325,TRUE,TRUE,FALSE,OneOFF_Astro,2,10,3,,,,2325-06-14,,,
OneOFF_Astro_MiAViG_Event_43,430,MiAViG - Event 43,"Mars in Aries, Venus in Gemini - Instance 43 of the Constellation of This",TRUE,GY_ONEOFF,,,345,2338-07-26,2338,TRUE,TRUE,FALSE,OneOFF_Astro,2,10,26,,,,2338-08-09,,,
OneOFF_Astro_MiAViG_Event_44,440,MiAViG - Event 44,"Mars in Aries, Venus in Gemini - Instance 44 of the Constellation of This",TRUE,GY_ONEOFF,,,353,2346-05-11,2346,TRUE,TRUE,FALSE,OneOFF_Astro,2,10,11,,,,2346-05-13,,,
OneOFF_Astro_MiAViG_Event_45,450,MiAViG - Event 45,"Mars in Aries, Venus in Gemini - Instance 45 of the Constellation of This",TRUE,GY_ONEOFF,,,360,2353-07-22,2353,TRUE,TRUE,FALSE,OneOFF_Astro,2,11,22,,,,2353-08-10,,,
OneOFF_Astro_MiAViG_Event_46,460,MiAViG - Event 46,"Mars in Aries, Venus in Gemini - Instance 46 of the Constellation of This",TRUE,GY_ONEOFF,,,362,2355-06-22,2355,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,22,,,,2355-07-11,,,
OneOFF_Astro_MiAViG_Event_47,470,MiAViG - Event 47,"Mars in Aries, Venus in Gemini - Instance 47 of the Constellation of This",TRUE,GY_ONEOFF,,,364,2357-05-29,2357,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,29,,,,2357-06-13,,,
OneOFF_Astro_MiAViG_Event_48,480,MiAViG - Event 48,"Mars in Aries, Venus in Gemini - Instance 48 of the Constellation of This",TRUE,GY_ONEOFF,,,377,2370-07-02,2370,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,2,,,,2370-08-03,,,
OneOFF_Astro_MiAViG_Event_49,490,MiAViG - Event 49,"Mars in Aries, Venus in Gemini - Instance 49 of the Constellation of This",TRUE,GY_ONEOFF,,,392,2385-07-17,2385,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,17,,,,2385-08-08,,,
OneOFF_Astro_MiAViG_Event_50,500,MiAViG - Event 50,"Mars in Aries, Venus in Gemini - Instance 50 of the Constellation of This",TRUE,GY_ONEOFF,,,394,2387-06-17,2387,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,17,,,,2387-07-09,,,
OneOFF_Astro_MiAViG_Event_51,510,MiAViG - Event 51,"Mars in Aries, Venus in Gemini - Instance 51 of the Constellation of This",TRUE,GY_ONEOFF,,,396,2389-05-24,2389,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,24,,,,2389-06-12,,,
OneOFF_Astro_MiAViG_Event_52,520,MiAViG - Event 52,"Mars in Aries, Venus in Gemini - Instance 52 of the Constellation of This",TRUE,GY_ONEOFF,,,409,2402-06-27,2402,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,27,,,,2402-07-28,,,
OneOFF_Astro_MiAViG_Event_53,530,MiAViG - Event 53,"Mars in Aries, Venus in Gemini - Instance 53 of the Constellation of This",TRUE,GY_ONEOFF,,,422,2415-08-29,2415,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,29,,,,2415-09-05,,,
OneOFF_Astro_MiAViG_Event_54,540,MiAViG - Event 54,"Mars in Aries, Venus in Gemini - Instance 54 of the Constellation of This",TRUE,GY_ONEOFF,,,424,2417-07-15,2417,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,15,,,,2417-08-06,,,
OneOFF_Astro_MiAViG_Event_55,550,MiAViG - Event 55,"Mars in Aries, Venus in Gemini - Instance 55 of the Constellation of This",TRUE,GY_ONEOFF,,,426,2419-06-15,2419,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,15,,,,2419-07-07,,,
OneOFF_Astro_MiAViG_Event_56,560,MiAViG - Event 56,"Mars in Aries, Venus in Gemini - Instance 56 of the Constellation of This",TRUE,GY_ONEOFF,,,428,2421-05-20,2421,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,20,,,,2421-06-11,,,
OneOFF_Astro_MiAViG_Event_57,570,MiAViG - Event 57,"Mars in Aries, Venus in Gemini - Instance 57 of the Constellation of This",TRUE,GY_ONEOFF,,,441,2434-06-21,2434,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,21,,,,2434-07-01,,,
OneOFF_Astro_MiAViG_Event_58,580,MiAViG - Event 58,"Mars in Aries, Venus in Gemini - Instance 58 of the Constellation of This",TRUE,GY_ONEOFF,,,454,2447-08-10,2447,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,10,,,,2447-09-03,,,
OneOFF_Astro_MiAViG_Event_59,590,MiAViG - Event 59,"Mars in Aries, Venus in Gemini - Instance 59 of the Constellation of This",TRUE,GY_ONEOFF,,,456,2449-07-13,2449,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,13,,,,2449-08-01,,,
OneOFF_Astro_MiAViG_Event_60,600,MiAViG - Event 60,"Mars in Aries, Venus in Gemini - Instance 60 of the Constellation of This",TRUE,GY_ONEOFF,,,458,2451-06-13,2451,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,13,,,,2451-07-05,,,
OneOFF_Astro_MiAViG_Event_61,610,MiAViG - Event 61,"Mars in Aries, Venus in Gemini - Instance 61 of the Constellation of This",TRUE,GY_ONEOFF,,,460,2453-05-16,2453,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,16,,,,2453-06-10,,,
OneOFF_Astro_MiAViG_Event_62,620,MiAViG - Event 62,"Mars in Aries, Venus in Gemini - Instance 62 of the Constellation of This",TRUE,GY_ONEOFF,,,486,2479-08-09,2479,TRUE,TRUE,FALSE,OneOFF_Astro,2,8,9,,,,2479-08-31,,,
OneOFF_Astro_MiAViG_Event_63,630,MiAViG - Event 63,"Mars in Aries, Venus in Gemini - Instance 63 of the Constellation of This",TRUE,GY_ONEOFF,,,488,2481-07-11,2481,TRUE,TRUE,FALSE,OneOFF_Astro,2,7,11,,,,2481-07-27,,,
OneOFF_Astro_MiAViG_Event_64,640,MiAViG - Event 64,"Mars in Aries, Venus in Gemini - Instance 64 of the Constellation of This",TRUE,GY_ONEOFF,,,490,2483-06-11,2483,TRUE,TRUE,FALSE,OneOFF_Astro,2,6,11,,,,2483-07-04,,,
OneOFF_Astro_MiAViG_Event_65,650,MiAViG - Event 65,"Mars in Aries, Venus in Gemini - Instance 65 of the Constellation of This",TRUE,GY_ONEOFF,,,492,2485-05-15,2485,TRUE,TRUE,FALSE,OneOFF_Astro,2,5,15,,,,2485-06-10,,,
